idUsuario,idDron,distancia
0,8,0.00270647372054834
1,8,0.0046991488591022
2,8,0.00395175910196898
3,5,0.00166628328924186
4,7,0.0019884164553728
5,7,0.00325737624477182
6,0,0.00157689568456497
7,3,0.00855462448036162
8,0,0.00302352443350122
9,1,0.0111155476698178
10,4,0.00820975639102345
11,6,0.0150872429555597
12,4,0.0123703718618315
13,1,0.00906766783687948
14,6,0.00588124136556401
15,2,0.00679865427860617
16,6,0.0105047037083398
17,2,0.00962352326333796
18,8,0.00151604749265673
19,1,0.00263319197932844
